player,player_id,position,team_name,player_game_count,block_percent,declined_penalties,franchise_id,grades_offense,grades_pass_block,grades_run_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_block,snap_counts_ce,snap_counts_lg,snap_counts_lt,snap_counts_offense,snap_counts_pass_block,snap_counts_pass_play,snap_counts_rg,snap_counts_rt,snap_counts_run_block,snap_counts_te
Tyler Higbee,10744,TE,LA,15,44.2,0,26,59.4,68.4,55.5,0,3,41,8.3,8.7,93.9,4,4,1,382,0,0,0,865,46,529,0,0,336,582
Baker Mayfield,46518,QB,TB,17,34.7,1,30,74.6,,60.0,0,0,0,0.0,0.0,,3,0,0,381,0,0,0,1099,0,685,0,0,381,0
Adam Trautman,109795,TE,DEN,17,50.2,1,10,53.2,62.1,60.1,1,3,55,13.8,13.6,96.4,3,4,0,379,0,0,2,755,59,435,0,4,320,473
Gardner Minshew,41401,QB,IND,16,39.0,0,14,62.0,,60.3,0,0,0,0.0,0.0,,4,0,0,379,0,0,0,972,0,580,0,0,379,0
Marcus McKethan,60811,G,NYG,9,100.0,1,21,45.4,26.8,53.9,5,10,227,100.0,100.0,95.8,1,17,2,378,0,81,0,378,245,245,288,0,133,9
Dak Prescott,10769,QB,DAL,17,33.7,0,9,90.8,,60.3,0,0,0,0.0,0.0,,5,0,0,376,0,0,0,1115,0,710,0,0,376,0
Trevon Wesco,42018,TE,TEN,15,88.4,0,31,49.8,61.2,56.3,1,6,98,67.6,68.8,96.4,3,7,0,374,0,0,0,423,108,157,0,1,266,390
Chandler Zavala,144009,G,CAR,7,100.0,0,5,26.2,7.1,41.5,7,20,233,100.0,100.0,91.6,3,33,6,374,0,297,0,374,249,249,77,0,125,0
Puka Nacua,100632,WR,LA,17,37.3,0,26,87.9,72.0,76.1,1,0,9,1.6,1.4,94.4,5,1,0,373,0,0,0,999,9,623,0,0,364,4
Gabe Davis,55410,WR,BUF,17,38.7,0,4,67.9,65.3,49.8,1,1,7,1.3,1.2,85.7,0,2,0,373,0,0,0,965,7,598,0,0,366,51
Connor McGovern,10778,C,NYJ,7,100.0,2,22,48.5,30.5,62.5,5,12,225,100.0,100.0,95.8,6,18,1,371,371,0,0,371,240,240,0,0,131,0
Durham Smythe,47257,TE,MIA,16,47.1,0,17,54.1,59.0,49.9,1,4,74,15.7,15.8,95.3,1,6,1,370,0,0,0,785,78,493,0,0,292,347
